	name	collaborative	pid	modified_at	num_tracks	num_albums	num_followers	tracks
0	drum & bass	false	122000	1460332800	12	11	1	['spotify:track:35AmCchFjTJoVwymcRmiLC', 'spotify:track:2QePQ29ix8gC0CbRHcGoBz', 'spotify:track:7zbq8RT5Kd3ExOGVTiUQbR', 'spotify:track:3d5LFzH1i152LuEUxNZJAD', 'spotify:track:1El3MOnnIhaT6MsRqNu13q', 'spotify:track:5QHC8Li12dGunS3bq9Pu25', 'spotify:track:0ay5L8O5lSsK0KvzJ73ysp', 'spotify:track:30s0O3paoTyMfHoUNBQfa0', 'spotify:track:0EnhRBCBQ0ldmkbTnXCTUU', 'spotify:track:5ne28OLLS7xUvVK8nNe6Yg', 'spotify:track:73FNl823P9rJQ4r3yNyOI8', 'spotify:track:5yseRIy0wkquvh0N9N1xcL']
1	chillllll	false	122001	1466899200	29	28	1	['spotify:track:1wZqJM5FGDEl3FjHDxDyQd', 'spotify:track:1gXBi2I04CLJkTQnhNfEJT', 'spotify:track:7DfFc7a6Rwfi3YQMRbDMau', 'spotify:track:6TaqooOXAEcijL6G1AWS2K', 'spotify:track:4FHu9bOzBjZurx89CMa42L', 'spotify:track:7JXZq0JgG2zTrSOAgY8VMC', 'spotify:track:1Tt4sE4pXi57mTD1GCzsqm', 'spotify:track:1Bqxj0aH5KewYHKUg1IdrF', 'spotify:track:6JG0qhINKVwiHxqN85j7RG', 'spotify:track:0PJIbOdMs3bd5AT8liULMQ', 'spotify:track:5NbbXcbCFwOH113niPHDjP', 'spotify:track:4SYUUlkScpNR1QvPscXf8t', 'spotify:track:6fTdcGsjxlAD9PSkoPaLMX', 'spotify:track:7lL3MvFWFFSD25pBz72Agj', 'spotify:track:62vpWI1CHwFy7tMIcSStl8', 'spotify:track:2QgNcjwEn0vGmTommfszQd', 'spotify:track:1c35oVynBuaFs99MNGUOUj', 'spotify:track:2JrttSXqvhuac7ppgNrnl9', 'spotify:track:6aYwPh0dchCcdRWHEPUUai', 'spotify:track:7t0RGhnXGBoVfy3Gakip8B', 'spotify:track:6GnhWMhgJb7uyiiPEiEkDA', 'spotify:track:6ficUPpshKKUmKa6SLN7Oq', 'spotify:track:2IO7yf562c1zLzpanal1DT', 'spotify:track:17YuXw2ScwLLL1sUrRKhoW', 'spotify:track:0HDJk7Sz8DpCsiJR1sjhEO', 'spotify:track:7gDwRzJhLs0fFHaGtMDJVM', 'spotify:track:13TmKVWEszgLfYyIzVhKkw', 'spotify:track:75GSFat05fUVklWAPKvVnH', 'spotify:track:2vTdEBKuXAFi6T0IbRuDff']
2	November	false	122004	1416787200	40	30	1	['spotify:track:6wuOF8G6OpRCTMTdBrpldq', 'spotify:track:3KdwTwhqGqgbNpM9lv7dqg', 'spotify:track:1285n66OGGUB3Bnh6c18nS', 'spotify:track:5Tp97LcL45G82uC6vaLvt5', 'spotify:track:1qb40a0BQjVxRkpdvofNVn', 'spotify:track:6EiNPCNOmYBLJFy5kf68Va', 'spotify:track:6WuZeRJ8RWPdNgtqLNqn4F', 'spotify:track:6Fls8gtqtTpg5VLudTlUF9', 'spotify:track:03WuFsWpkytZ6c5iidS8Im', 'spotify:track:3L9dCXAytMzOP5Ykfh0Sig', 'spotify:track:1Slwb6dOYkBlWal1PGtnNg', 'spotify:track:5RQwPAFZuGAT9Jez3jrrha', 'spotify:track:719E6Oq3VD5BSrD2EvatwL', 'spotify:track:4XC3MjxO8z5SYzaIWgBNG1', 'spotify:track:5uq3x8Pg8HAj8qNwPFOzfl', 'spotify:track:24N8bBi3zaJho6mR0fLPoW', 'spotify:track:0JsZvgrLLikZhhiIbuoIOd', 'spotify:track:4L6yWxQ7EYpn0uoDccl8cA', 'spotify:track:1ejh3vLczaUzNyCWD2DK6x', 'spotify:track:2l8RsovvJQnA72hfucowRI', 'spotify:track:6o8pQj3EnyVPFKNHLX8yiJ', 'spotify:track:2xRYnHQdLD9ketvC01UYYT', 'spotify:track:4d75stQ2jRfq8lzaqhFFKs', 'spotify:track:0g2tr0lzNx0r8V372jUwMp', 'spotify:track:5dzV75f9qVXVvdXLTqIG4L', 'spotify:track:4FfdmvdBN0LnLENhgJrpdQ', 'spotify:track:3vcjqxYClEIWyimOrXO0vo', 'spotify:track:3ESsjKqrj3M79I8sSZieK3', 'spotify:track:3mgdlG0AJUEzIj5U6ArlZA', 'spotify:track:1jk9NRyYFKPgfCX9BnW6yW', 'spotify:track:1vgxXKrwWUyGKC97yXbkAU', 'spotify:track:2dgx2dEHgG4EtvFhf8Ee6M', 'spotify:track:4L6yWxQ7EYpn0uoDccl8cA', 'spotify:track:53E8Gv88T4H9obr2AzA0kw', 'spotify:track:0ctb3mooYXoiMufKTR65xi', 'spotify:track:25dEXwmqFjU6D6xcrZM5e6', 'spotify:track:3vEU55HyrSYobhI57RR0ej', 'spotify:track:5Jy2e76IJMZExd1r5ZqrP8', 'spotify:track:3ESsjKqrj3M79I8sSZieK3', 'spotify:track:4FfxdWPfCl0dOJWuh19pNG']
3	spring 2016	false	122007	1465430400	53	39	1	['spotify:track:7MIGNUCE2lKsWXHjUT4EHO', 'spotify:track:0UeYCHOETPfai02uskjJ3x', 'spotify:track:2Gyc6e2cLxA5hoX1NOvYnU', 'spotify:track:3dmsgudsfeGdQ9NsZFOm0C', 'spotify:track:28YLWwEB6xnJQYN7e062rH', 'spotify:track:14WWzenpaEgQZlqPq2nk4v', 'spotify:track:2LvpVkv0z8oFMcc048FfJd', 'spotify:track:2ZRJRe82aZaVhOKKlbJr4v', 'spotify:track:3lB0GMiI5KxDbTOG8V3bOx', 'spotify:track:5Q0c3q5dN1BIxROsuwdb5e', 'spotify:track:2fgAJeky8Cpsr8Cfvn2NVp', 'spotify:track:69bp2EbF7Q2rqc5N3ylezZ', 'spotify:track:3hB5DgAiMAQ4DzYbsMq1IT', 'spotify:track:0Ez4Vd9woXEJ9Bp2BQGHCc', 'spotify:track:6b1qAxCsMnOafhpDyiNpMJ', 'spotify:track:6KFaHC9G178beAp7P0Vi5S', 'spotify:track:1RM7XdyfDnksC1ukt4y67n', 'spotify:track:1Dr5JexwA15wmKe7Y7maA9', 'spotify:track:4htgubIqo8b2JD1pR5jYEx', 'spotify:track:7kFxZ5ckpMi2RhN1WH8cn2', 'spotify:track:1PDOSyRGnlMRRt22mb3UHA', 'spotify:track:6TTtJwtPEAI7yPHKR3XEKE', 'spotify:track:5v7kaZNsnyByrSJOfO8gKq', 'spotify:track:5D8Uht0XrBMINxQ5v1xCJP', 'spotify:track:6jG2YzhxptolDzLHTGLt7S', 'spotify:track:1vxw6aYJls2oq3gW0DujAo', 'spotify:track:1eQBEelI2NCy7AUTerX0KS', 'spotify:track:4KW1lqgSr8TKrvBII0Brf8', 'spotify:track:1Wsbr1d2BouNGk2q92mIj7', 'spotify:track:19a3JfW8BQwqHWUMbcqSx8', 'spotify:track:49fT6owWuknekShh9utsjv', 'spotify:track:4qYLPta5HZ36idWiXtqh7B', 'spotify:track:3nAq2hCr1oWsIU54tS98pL', 'spotify:track:66Q3fAmSX5eHamgbKa9alP', 'spotify:track:0zLClc0emc6qUeV1p5nc99', 'spotify:track:7xcqbjV2NfxlnJzqdRuO7E', 'spotify:track:1I5HjhrlhbWLlKIHwa0qMy', 'spotify:track:2QgNcjwEn0vGmTommfszQd', 'spotify:track:22mek4IiqubGD9ctzxc69s', 'spotify:track:4Qt4z5raRM4riRPtU55uAs', 'spotify:track:17YuXw2ScwLLL1sUrRKhoW', 'spotify:track:7kpEXIcmGbHYEpJ4i6MH9v', 'spotify:track:3NWTRZ0A8xKlBP1qgNftql', 'spotify:track:7gHs73wELdeycvS48JfIos', 'spotify:track:5sdDzzl866nMO5HQaNWrUH', 'spotify:track:5OOkp4U9P9oL23maHFHL1h', 'spotify:track:5UPNBWFU2TEf9kauIITfBs', 'spotify:track:4FXjqSANt5idPHSDcuzo6w', 'spotify:track:2MMFpdctgwEkUlfP3kyPDG', 'spotify:track:6obKvh06VvBZP98oqU6YR7', 'spotify:track:7yuUoWjpk7EMDOIcexDtnv', 'spotify:track:1BDZTDK7yM3W1r25X9TAiT', 'spotify:track:11KJSRSgaDxqydKYiD2Jew']
4	Emily	false	122008	1422230400	16	16	1	['spotify:track:7uoulrMQgFZFAIEpRPvewL', 'spotify:track:7cgu4JBW3hq1GwTM1ilkKQ', 'spotify:track:7pJgjBf82BrUQ3z7HdQvW1', 'spotify:track:4XPWKmy05Rcff6TLHNoNF8', 'spotify:track:3zHq9ouUJQFQRf3cm1rRLu', 'spotify:track:5O2P9iiztwhomNh8xkR9lJ', 'spotify:track:1Slwb6dOYkBlWal1PGtnNg', 'spotify:track:5XH0gfi4FzofrtYErXZNVp', 'spotify:track:5PXhYXlPf6CCGrSeZEmJZH', 'spotify:track:32OlwWuMpZ6b0aN2RZOeMS', 'spotify:track:6WQLkih8nE0JdUCEyLaGnQ', 'spotify:track:6gj08XDlv9Duc2fPOxUmVD', 'spotify:track:2bJvI42r8EF3wxjOuDav4r', 'spotify:track:4kbj5MwxO1bq9wjT5g9HaA', 'spotify:track:1IDF4jYiuI17U4BW23EoXV', 'spotify:track:7FC9Lng8iXU081lbigu8m8']
5	feel good	false	122010	1505692800	23	22	1	['spotify:track:3yqsrYme138DD5pwu7cn0R', 'spotify:track:3b0EOvScbZUc0qJx0E1L2z', 'spotify:track:2Z8WuEywRWYTKe1NybPQEW', 'spotify:track:6XDkCAv65eIZTfTwh0XHU6', 'spotify:track:1FneiT4MnWCOIDHUZkZsoO', 'spotify:track:5y20ik4oFXCIg1santQtWl', 'spotify:track:3Bjr9MzHM7KHk6zq7KvJRN', 'spotify:track:58jx3tTuDuzHysC77c0AQd', 'spotify:track:1lvWhdFZyTkdnUBYpUE3e9', 'spotify:track:1rIKgCH4H52lrvDcz50hS8', 'spotify:track:1BMwsK4pa9KhiFmOp1oCjf', 'spotify:track:3sFCrYlKCEnrTRfXEafPai', 'spotify:track:22qdjc5fSCIbhniasG7F6q', 'spotify:track:57i3M29DWoo7RDk0Tf0LZG', 'spotify:track:4OZEu0Vwq0RB2LAq14v99n', 'spotify:track:316r1KLN0bcmpr7TZcMCXT', 'spotify:track:0NWQTyapmz4GuDTSN9xTB7', 'spotify:track:3bnVBN67NBEzedqQuWrpP4', 'spotify:track:2FrUZyVaogYjfRMrgRAgQg', 'spotify:track:1dn1CQcTDnkmncHIKBaC6i', 'spotify:track:1cOyWWUr3oXJIxY0AjJEx9', 'spotify:track:6TaqooOXAEcijL6G1AWS2K', 'spotify:track:7rt7ywY9yekwaYXk2Zt4Q5']
6	oldie but a goodie 	false	122012	1499126400	31	20	2	['spotify:track:5GhYfK0jevTEtXOaqCKCxw', 'spotify:track:4lw2PwlgeQVyNRmm3aeX6X', 'spotify:track:5dTHtzHFPyi8TlTtzoz1J9', 'spotify:track:4wzjNqjKAKDU82e8uMhzmr', 'spotify:track:2Guz1b911CbpG8L92cnglI', 'spotify:track:6PsISpFaCEKwysPfwO9SfC', 'spotify:track:48O6kz322Dzu1R6Al5147q', 'spotify:track:4DkZySjA8DNWdPnpd3nWJS', 'spotify:track:56glLxE0WYmaP3sF5PLR2w', 'spotify:track:3tZwKujD64Ad6vlDVxZOrg', 'spotify:track:4NaPX1b3NsQqJrrAwkkvVc', 'spotify:track:12ettGOse4b5vko513KTuX', 'spotify:track:0lTgHKp98xUup7jLjbdm9F', 'spotify:track:7N2DblLu8DuZ0seGYSg73v', 'spotify:track:3JxefpUPB9vmI2ZO5MMYZA', 'spotify:track:4b9jRNwMUvABxTD1amyfA6', 'spotify:track:5KYZkhFT3DX3MckzTPWiQK', 'spotify:track:4mCOUU3tgt9U3KcXdkJwSU', 'spotify:track:1QTha1JMk6JxfnrG7sC72e', 'spotify:track:6QfnvcOKsdN4Q6exUWVuzn', 'spotify:track:1R9eK0NXBXFHDeBYIAWPIM', 'spotify:track:2mARTTKW3aFaFMdlRNLDJZ', 'spotify:track:6p4jnIWFWyLz0zUo2RD9iu', 'spotify:track:6GKhlcZeyEW9Y5ZLZ37HZ3', 'spotify:track:4fWsBWCJHoQqTo5D1e1mn8', 'spotify:track:71U9X93wy4BQGyvmjFqApv', 'spotify:track:7cITfGsdjGaTP0b5oiLL0z', 'spotify:track:3iaTupx9cV6lm2WUdRkImz', 'spotify:track:0oFYSXL6TrTu87EPTEoXXF', 'spotify:track:1XFvDQjWp0FxNxUm9FEAEd', 'spotify:track:52tjHPPO2jw6YOrL4pZepe']
7	Spring	false	122013	1377216000	33	30	1	['spotify:track:2rzBvHM9h36Tpdj7Jdajka', 'spotify:track:6V2D8Lls36APk0THDjBDfE', 'spotify:track:3aHkbJXFYpPrup2K8wvDOV', 'spotify:track:39qSXklPEyvZRzMwU1yZkg', 'spotify:track:2cOCunrzyHVpTrTwSIKRbt', 'spotify:track:3ejrk4i0LWIofaaBEmwX0A', 'spotify:track:1hWYT0w2R0J19rlVkiez7X', 'spotify:track:0U0ldCRmgCqhVvD6ksG63j', 'spotify:track:7FOJvA3PxiIU0DN3JjQ7jT', 'spotify:track:0osPX8TruIebOhKuG6GK8C', 'spotify:track:0c4IEciLCDdXEhhKxj4ThA', 'spotify:track:6co9C65L6XRT6VEwOTLchH', 'spotify:track:6Ep6BzIOB9tz3P4sWqiiAB', 'spotify:track:0Rz1KXsP4bhGxs0ffySSSn', 'spotify:track:6Z8R6UsFuGXGtiIxiD8ISb', 'spotify:track:2LvRR121MWFmmEGkuV2vQP', 'spotify:track:0pgeVJrdNok4KhbiM58ayZ', 'spotify:track:5oVlbbiKGdGeZkWCFy0mqk', 'spotify:track:0YpBHgZ9Pfr4fbiKkP9nj9', 'spotify:track:07sOl7WsmCaUqaJaRn9Dss', 'spotify:track:0UAmPUdpTRq8w54B3H8TzY', 'spotify:track:63OmVzNwoMNn6hT7p5vwvX', 'spotify:track:2VgK91p2fUZ5iqm3hJHma6', 'spotify:track:0HFrCOmhCYXlv4NdEwRAuj', 'spotify:track:1tzPSule9WZ9B8SujHv8fp', 'spotify:track:2QjOHCTQ1Jl3zawyYOpxh6', 'spotify:track:4joscLkvNNNH5c0HR0W3jF', 'spotify:track:152ANCuCtaK7mkhyFubrRG', 'spotify:track:1eyzqe2QqGZUmfcPZtrIyt', 'spotify:track:0UeYCHOETPfai02uskjJ3x', 'spotify:track:25nzKGDiua1lE9Qo5V19GL', 'spotify:track:5WBnKCEsPwsvWHUZmLjS3s', 'spotify:track:3hM78tLCS5bRdPefruxA7A']
8	Yaa	false	122014	1493942400	40	36	2	['spotify:track:32OlwWuMpZ6b0aN2RZOeMS', 'spotify:track:1xznGGDReH1oQq0xzbwXa3', 'spotify:track:7yyRTcZmCiyzzJlNzGC9Ol', 'spotify:track:5hTpBe8h35rJ67eAWHQsJx', 'spotify:track:0PJIbOdMs3bd5AT8liULMQ', 'spotify:track:3pXF1nA74528Edde4of9CC', 'spotify:track:0ECs7wpW9157Tk5yBUGbE0', 'spotify:track:6RsWqX8zABZLhZydXxEFOm', 'spotify:track:7FOJvA3PxiIU0DN3JjQ7jT', 'spotify:track:1wZqJM5FGDEl3FjHDxDyQd', 'spotify:track:5tORtBzHUAnNrIw5Ql3kHZ', 'spotify:track:376KnY4TrgBITxjlnbnmIy', 'spotify:track:11rsK9GDZ9UdWsxtDqnMmN', 'spotify:track:5aAx2yezTd8zXrkmtKl66Z', 'spotify:track:3sNVsP50132BTNlImLx70i', 'spotify:track:5tf1VVWniHgryyumXyJM7w', 'spotify:track:6REbwUNlppTfcnV4d4ZoZi', 'spotify:track:11KJSRSgaDxqydKYiD2Jew', 'spotify:track:7JYsArznYOjX2jsrT3UEnL', 'spotify:track:5jWA5Lfsu78HbaGlm75u2w', 'spotify:track:5uDASfU19gDxSjW8cnCaBp', 'spotify:track:1zCi4cVFqe6ja16MeGZKRN', 'spotify:track:4yDOGxajDdWly73R2w3bkS', 'spotify:track:1UZ25gykR30Oewh3dBRtVZ', 'spotify:track:4Km5HrUvYTaSUfiSGPJeQR', 'spotify:track:0sFvItEeMstcUyZCleYgyj', 'spotify:track:6b8Be6ljOzmkOmFslEb23P', 'spotify:track:02M6vucOvmRfMxTXDUwRXu', 'spotify:track:152lZdxL1OR0ZMW6KquMif', 'spotify:track:2EEeOnHehOozLq4aS0n6SL', 'spotify:track:1OubIZ0ARYCUq5kceYUQiO', 'spotify:track:1eDS8ii1utvj0PjfQLrDb4', 'spotify:track:4brX8MJs5hxErgq48f9REO', 'spotify:track:4cxMGhkinTocPSVVKWIw0d', 'spotify:track:124NFj84ppZ5pAxTuVQYCQ', 'spotify:track:6JjEVlMkfHWMeYavkEYzNO', 'spotify:track:7KXjTSCq5nL1LoYtL7XAwS', 'spotify:track:0KKkJNfGyhkQ5aFogxQAPU', 'spotify:track:7DfFc7a6Rwfi3YQMRbDMau', 'spotify:track:4w7yrP4RAeeyhfG9nJqQvS']
9	Vibes 	false	122015	1508544000	47	35	2	['spotify:track:6zQyu8L8yUuJkl6LbQ6iKU', 'spotify:track:1tTV7mRV9uB2Nr9VcwkuFX', 'spotify:track:6Hx7kdHB9kGdxnw2EwSx2V', 'spotify:track:451lImvMP11P9h5wINhm6l', 'spotify:track:6oXUzxFOfdXbD8ivAfAraN', 'spotify:track:5n0CTysih20NYdT2S0Wpe8', 'spotify:track:0NhvXWy3knBLgGGM6Y1Q7R', 'spotify:track:4VBZbQw57uAtXTtwPBMYm2', 'spotify:track:75jHGZkVYcbLDlS1SQkWgz', 'spotify:track:26b3LHONLELwlrKRJvReIv', 'spotify:track:7tKnaB8gsXxyPScxEwzQ9N', 'spotify:track:6kF2DYkORE9d17oPFomMPJ', 'spotify:track:3USei2Ja58VV6yOypYNjfN', 'spotify:track:4jKq1e80xAYixkIwt6YyV1', 'spotify:track:4N2zeocus4048x4HzWD2iK', 'spotify:track:2fj2N0pJtfVcs5eKX3kxUZ', 'spotify:track:6qJctjtv84ecgjoMPMPUwk', 'spotify:track:0ZAbupc7jAQpG9IxojQ3s3', 'spotify:track:58VZtWOA75FCms5fd8H7Zy', 'spotify:track:2QqaJDUOppTtjJLhTMNN5R', 'spotify:track:1xDgXUYJEGW16ewAfsCU7z', 'spotify:track:5C90m8eM6GJR2SACiLAWHo', 'spotify:track:5zzWx7oJ9zBmv76uFaFeYR', 'spotify:track:1Q8V8LoXnrCCdIsaKHGKjo', 'spotify:track:1s6ZeNCxTkbN0QgzsvK2SB', 'spotify:track:5lO1htX1UPjwyItDLurhR5', 'spotify:track:5yUXyXZSG80niT5hkh7ucf', 'spotify:track:7BhtNdWEvpx4n1vbqLrS93', 'spotify:track:4E58fGVDk1d0DHUHLIrOoh', 'spotify:track:2AA7LG3N6KMs7dlzmK8Fax', 'spotify:track:75woJqmjZQuF4tPOmiBIEv', 'spotify:track:0hxy93CbIX7Hd5WXaVjx5R', 'spotify:track:4zQO4hbavXKqtIs8gHDRo9', 'spotify:track:0m8z88MqUfbstTIUMK2wfZ', 'spotify:track:3Ln4R0ILUMSdRJmHyLnPx9', 'spotify:track:21xou84xCn9aF4z2N5GzTK', 'spotify:track:03fQPSfmQYEsPpMtPMzQKi', 'spotify:track:3MYWKl8ScgDu3sAvyneMCG', 'spotify:track:0yTJtxZJ5VLfBEHhiNUNeY', 'spotify:track:69yWHw7ZdTfYnpk67pdj3a', 'spotify:track:6pAH9ilo8UkRIraNc8YVkR', 'spotify:track:0scQIzgcOhnmfqfOTpRUFH', 'spotify:track:0N4RL8OFtthWHPY7QuRywo', 'spotify:track:6TGapnqEUkkSBanKyn5qYy', 'spotify:track:15jIpgBlSbxsPVsKPNYkNp', 'spotify:track:64TjzuxG5PJ7payjphrOC0', 'spotify:track:3ti4eDm3s0dGWxQKeJ1OeM']
